id,lat,lng,coord_source,coord_precision,name,province
3-105-79/65,13.8606773126367,100.740482510205,admin,exact,บริษัท ที.พี.สหมิตร กรุ๊ป จำกัด,กรุงเทพมหานคร
3-28(1)-5/59,13.6949986749722,100.456752616731,admin,exact,บริษัท แฟนซี อาร์ท จำกัด,กรุงเทพมหานคร
3-4(1)-1/65กบ,8.58781496,98.74291337,admin,exact,บริษัท ฟาร์เมช จำกัด,กระบี่
3-50(4)-35/67กบ,8.32790787851069,98.7702438740087,admin,exact,ห้างหุ้นส่วนจำกัด หนูเพียร ส่งเสริมโยธา,กระบี่
3-53(4)-39/57,13.6989806514486,100.435849227661,admin,exact,บริษัท วิจิตรกรุ๊ป แพ็คเกจจิ้ง โซลูชั่น จำกัด,กรุงเทพมหานคร
3-7(1)-16/54กบ,7.98619207991117,99.2098215270705,admin,exact,บริษัท กระบี่วิเศษน้ำมันปาล์ม จำกัด,กระบี่
3-74(5)-1/64,13.6477465021821,100.502348425708,admin,exact,บริษัท ซินโดรม อิเลคทรอนิคส์ อินดัสตรี จำกัด,กรุงเทพมหานคร
3-84(1)-2/65,13.762805547602,100.63421662436,admin,exact,บริษัท จินไท้ จิถวน (ประเทศไทย) จำกัด,กรุงเทพมหานคร
3-88(2)-134/56กบ,7.98868673961292,99.2088813486413,admin,exact,บริษัท กระบี่ เวสท ทู เอ็นเนอร์ยี่ จำกัด,กระบี่
3-88(2)-16/52กบ,8.29124866170722,99.0524063982805,admin,exact,บริษัท ศรีเจริญปาล์มออยล์ จำกัด,กระบี่
3-88(2)-33/53กบ,8.22590712573493,99.0345084690674,admin,exact,บริษัท ซาราฟ ไบโอแก๊ส เอ็นเนอร์ยี จำกัด,กระบี่
3-88(2)-79/53กบ,8.26600380504061,99.081760672897,admin,exact,บริษัท นามหงษ์ พาวเวอร์ จำกัด,กระบี่
3-92-4/58,13.7133530965112,100.56405364418,admin,exact,การท่าเรือแห่งประเทศไทย,กรุงเทพมหานคร
3-95(1)-1/65,13.812079763925,100.669295891522,admin,exact,บริษัท โตโยต้า ชัยรัชการ จำกัด,กรุงเทพมหานคร
ก2-28(1)-13/64,13.681226240323,100.450246945666,admin,exact,บริษัท กู คอร์ปอเรชั่น จำกัด,กรุงเทพมหานคร
ก2-28(1)-34/56,13.7123778010775,100.498768076514,admin,exact,บริษัท เจ.เอ็ม แอพพาเรล จำกัด,กรุงเทพมหานคร
ก2-28(1)-41/64,13.7462714857176,100.502680174492,admin,exact,บริษัท มณฑล จำกัด,กรุงเทพมหานคร
ก2-28(1)-6/66,13.6791029288088,100.473006125834,admin,exact,บริษัท ยูเนี่ยน ไทย กรุ๊ป จำกัด,กรุงเทพมหานคร
ก2-28(2)-1/66,13.6791005656884,100.473021678999,admin,exact,บริษัท ยูเนี่ยน ไทย กรุ๊ป จำกัด,กรุงเทพมหานคร
ก2-4(6)-2/65,13.7702714132603,100.475779827573,admin,exact,บริษัท มุ่ยกวง จำกัด,กรุงเทพมหานคร
ก2-41(1)-2/68,13.6849720282565,100.472728641672,admin,exact,บริษัท เกรย์ แมทเทอร์ จำกัด,กรุงเทพมหานคร
ก2-41(1)-22/69,13.7926626370374,100.635299393639,admin,exact,บริษัท แอท ซีเคียวริตี้ พริ้นติ้ง จำกัด,กรุงเทพมหานคร
ก2-53(1)-27/64,13.720217150329,100.499102766515,admin,exact,เจ้าพระยาพลาสติก,กรุงเทพมหานคร
ก2-63(2)-82/64,13.8346886645783,100.709774164386,admin,exact,,กรุงเทพมหานคร
ก2-87(3)-2/64,13.7213790682335,100.489260269161,admin,exact,ประเสริฐการช่าง,กรุงเทพมหานคร
จ3-3(1)-1/50กบ,8.10758690445117,98.9414986207825,admin,exact,ห้างหุ้นส่วนจำกัด ตรังสหพัฒนา,กระบี่
จ3-3(2)-125/64กบ,7.99481183,99.2023012,admin,exact,-,กระบี่
จ3-3(2)-258/60กบ,7.93821662,99.14072833,admin,exact,,กระบี่
จ3-3(2)-284/55กบ,8.0665136,98.91681282,admin,exact,นางเฉลา รัตนคหะ,กระบี่
จ3-3(2)-59/65กบ,7.80709677956555,99.2443426701725,admin,exact,-,กระบี่
จ3-3(2)-62/52กบ,7.74974004,99.26104054,admin,exact,,กระบี่
จ3-58(1)-20/55กบ,8.081641034277,98.9080317396772,admin,exact,ห้างหุ้นส่วนจำกัด กระบี่พืชผล,กระบี่
จ3-7(1)-5/64กบ,8.59659315,98.74347786,admin,exact,บริษัท เจริญการ น้ำมันปาล์ม จำกัด,กระบี่
จ3-89-28/56กบ,7.98868673961292,99.2088813486413,admin,exact,บริษัท กระบี่ เวสท ทู เอ็นเนอร์ยี่ จำกัด,กระบี่
อ2-58(1)-116/64กบ,8.09756875000885,98.9002249041421,admin,exact,บริษัท ทรายช่อฟ้า จำกัด,กระบี่
อ2-58(1)-117/64กบ,7.81124960898829,99.1952013509559,admin,exact,บริษัท บุญทองซีแพค จำกัด,กระบี่
