id,lat,lng,coord_source,coord_precision,name,province
3-50(4)-38/61ชพ,10.3253125,99.1100625,repaired,exact,ห้างหุ้นส่วนจำกัด เปี่ยม-กรณรงค์ ก่อสร้าง,ชุมพร
ข3-72-9/65นม,14.875906,101.904649,repaired,exact,บริษัท เคียวเซร่า เอวีเอ็กซ์ คอมโพเนนส์ (กรุงเทพมหานคร) จำกัด,นครราชสีมา
จ3-43(1)-3/45สพ,14.86764,99.9946,repaired,exact,บริษัท ลุงเชาวน์ปุ๋ยอินทรีย์ จำกัด,สุพรรณบุรี
จ3-48(2)-1/53นม,14.677414442141,101.54251983519,repaired,exact,บริษัท อิคาริ เทรดดิ้ง (ประเทศไทย) จำกัด,นครราชสีมา
จ3-57(3)-4/59ปจ,13.82891,101.55036,repaired,exact,บริษัท น่ำเฮงคอนกรีต (1992) จำกัด,ปราจีนบุรี
จ3-58(1)-1/40สพ,14.1723,100.01764,repaired,exact,บริษัท สยามโพล์แอนด์ไพล์ จำกัด,สุพรรณบุรี
จ3-58(1)-13/64รอ,15.74645,103.44984,repaired,exact,นางสาวสุดารัตน์ ชินพรม,ร้อยเอ็ด
จ3-58(1)-24/52นฐ,13.99092,99.98308,repaired,exact,บริษัท แสงชัยโชค จำกัด,นครปฐม
จ3-58(1)-73/56จบ,12.595901,102.145386,repaired,exact,บริษัท พี.แอล.ซีเมนต์ จำกัด,จันทบุรี
จ3-9(1)-1/45นว,15.6359,99.99074,repaired,exact,บริษัท อีเกิล อินเตอร์เทรด จำกัด,นครสวรรค์
จ3-9(6)-37/58ฉช,13.709601,101.243597,repaired,exact,บริษัท สิงห์ยิ้มอุตสาหกรรมการเกษตร จำกัด,ฉะเชิงเทรา
ธ3-3(1)-1/43นว,15.61354,99.96256,repaired,exact,ศิลาวีระวัฒน์,นครสวรรค์
3-10(1)-11/64สค,13.592416666667,100.32206666667,sibling,exact,บริษัท ซันฟู้ดส์เทรดดิ้ง จำกัด,สมุทรสาคร
3-100(1)-6/61สค,13.580666666667,100.27658333333,sibling,exact,บริษัท เอเซียนแปซิฟิคแคน จำกัด,สมุทรสาคร
3-101-2/63อบ,15.09148,105.02589,sibling,exact,บริษัท อุบลซันฟลาวเวอร์ จำกัด,อุบลราชธานี
3-102-2/64นม,14.569235,101.235898,sibling,exact,บริษัท เขาใหญ่ไวน์เนอรี่ จำกัด,นครราชสีมา
3-102-2/65นว,15.369130818227,100.24298698825,sibling,exact,บริษัท จีจีซี เคทิส ไบโออินดัสเทรียล จำกัด,นครสวรรค์
3-105-107/60สป,13.600616666667,100.68576666667,sibling,exact,บริษัท เอ็นทีที.ออโต้ แอนด์ ซัพพลาย จำกัด,สมุทรปราการ
3-105-113/62สค,13.479326,100.064575,sibling,exact,บริษัท ฮุยเนง หงเชง อินดัสทรี จำกัด,สมุทรสาคร
3-105-35/58สค,13.593,100.31238333333,sibling,exact,นางสาวพลินี กล้าตลุมบอน,สมุทรสาคร
3-105-46/66,13.82179,100.57601,sibling,exact,นายธนากฤต ยิ่งรัตนเดช,กรุงเทพมหานคร
3-105-48/64สบ,14.61042,100.75699,sibling,exact,บริษัท เค.บี.เค.เกษตรภัณฑ์ จำกัด,สระบุรี
3-105-74/65ปท,14.028366666667,100.60616666667,sibling,exact,บริษัท สยามคราฟท์อุตสาหกรรม จำกัด,ปทุมธานี
3-105-79/67ฉช,13.752681,101.520253,sibling,exact,บริษัท ทรัพย์เจริญ รีไซเคิล จำกัด,ฉะเชิงเทรา
3-105-98/61สป,13.535583333333,100.61853333333,sibling,exact,บริษัท สดใส บางปู พลาสติก จำกัด,สมุทรปราการ
3-105-98/63สค,13.49139,100.12994,sibling,exact,บริษัท ประพรรณพัฒน์ จำกัด,สมุทรสาคร
3-106-11/56รย,12.85972,101.17421,sibling,exact,บริษัท กรีนเวสท์โกลเวอร์ไลท์ แมนเนจเม้นท์ จำกัด,ระยอง
3-106-16/65ปท,14.118883,100.58522,sibling,exact,บริษัท ดับเบิลยู.เอ็ม.อิคสปอร์ท 2010 (ประเทศไทย) จำกัด,ปทุมธานี
