id,registration_display,fid,name,factory_type,province,district,sub_district,address_full,lat,lng,coord_source,last_seen_in_feed,absent_from_feed_as_of
2-9(6)-12/27นภ,2-9(6)-12/27นภ,"=""10390001225278""",รุ่งแสง,2,หนองบัวลำภู,นากลาง,กุดดินจี่,105 ม.9,17.3698671598277,102.274534137218,geocoded,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
3-1-1/19นน,3-1-1/19นน,"=""10550000125197""",ห้างหุ้นส่วนสามัญ สถานีบ่มใบยาสบหนอง,3,น่าน,ท่าวังผา,ศรีภูมิ,189 ม.10 ถ.วรนคร,19.05604,100.77991,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
3-1-1/31พย,3-1-1/31พย,"=""10560000125311""",สถานีบ่มใบยาสันกลาง,3,พะเยา,ปง,งิม,92 ม.17,19.27523,100.36916,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
3-1-1/58พย,3-1-1/58พย,"=""10560000125584""",บริษัท บี เค เบสฟู้ดส์ จำกัด,3,พะเยา,จุน,ห้วยยางขาม,88/1 ม.7 ถ.พะเยา-เชียงคำ,19.3668713553959,100.14988774358,geocoded,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
3-1-12/15ชร,3-1-12/15ชร,"=""10570001225150""",โรงบ่มใบยาศรีถ้อย,3,เชียงราย,แม่สรวย,ศรีถ้อย,ม.3 ถ.แม่สรวย-เวียงป่าเป้า,19.58512,99.4944,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
3-1-2/17ลป,3-1-2/17ลป,"=""10520000225172""",สถานีบ่มใบยาปานทอง,3,ลำปาง,เมืองปาน,แจ้ซ้อน,1 ม.9 ถ.บ้านช่องกอม,18.778241,99.524763,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
3-1-2/58พย,3-1-2/58พย,"=""10560000225582""",บริษัท เต๋อ เยวี๋ยน จำกัด,3,พะเยา,จุน,หงส์หิน,89 ม.6,19.4828982538776,100.096632248625,geocoded,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
3-1-3/58พย,3-1-3/58พย,"=""10560000325580""",โรงบ่มพูนทรัพย์ธัญญกิจ,3,พะเยา,จุน,ห้วยยางขาม,โฉนดเลขที่ 16678 ม.7 ถ.พะเยา-เชียงคำ,19.3579112679472,100.14404207468,geocoded,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
3-10(1)-1/17นฐ,3-10(1)-1/17นฐ,"=""10730100125178""",บริษัท สามมิตรอุตสาหกรรมอาหาร จำกัด,3,นครปฐม,สามพราน,ท่าข้าม,13/8 ม.4 ถ.เพชรเกษม,13.722383333333,100.24698333333,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
3-10(1)-1/27นฐ,3-10(1)-1/27นฐ,"=""10730100125277""",บริษัท สยามโภคภัณฑ์ จำกัด,3,นครปฐม,สามพราน,ไร่ขิง,23 ม.14 ถ.เพชรเกษม,13.713666666667,100.27593333333,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
3-10(1)-1/29นศ,3-10(1)-1/29นศ,"=""10800100125294""",บริษัท ซิลเวอร์เบเกอรี่ แอนด์ฟู้ด จำกัด,3,นครศรีธรรมราช,เมืองนครศรีธรรมราช,คลัง,86/1 ถ.ปากนคร,8.44073,99.9725,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
3-10(1)-1/46ปท,3-10(1)-1/46ปท,"=""10130000125461""",บริษัท ไทย ยามาซากิ จำกัด,3,ปทุมธานี,คลองหลวง,คลองหนึ่ง,"9/66, 9/150 ม.5 ถ.พหลโยธิน",14.037216,100.612236,gov,2026-08-22T20:04:28.82868+00:00,2026-08-25T20:13:54.698924+00:00
