factory_fid,permit_status,issue_date,permit_no,created_at
00120000225389,ดำเนินการ,1995-09-25,,2026-08-08 05:32:15.261569+00
00120000425336,ดำเนินการ,1993-03-30,,2026-08-08 05:32:15.261569+00
00120100125364,ดำเนินการ,1993-09-29,,2026-08-08 05:32:14.531576+00
00120100125380,ดำเนินการ,1995-06-02,,2026-08-08 05:32:15.261569+00
00120200125371,ดำเนินการ,1994-04-27,,2026-08-08 05:32:15.261569+00
00120200125389,ดำเนินการ,1995-03-22,,2026-08-08 05:32:15.261569+00
00120400125353,ดำเนินการ,1995-01-10,,2026-08-08 05:32:15.261569+00
00120500125352,ดำเนินการ,1994-12-29,,2026-08-08 05:32:15.261569+00
00430000125327,ดำเนินการ,1993-07-07,,2026-08-08 05:32:14.531576+00
00810000125387,ดำเนินการ,1995-02-23,,2026-08-08 05:32:14.531576+00
10100000125316,ดำเนินการ,1994-11-21,,2026-07-23 05:40:17.785631+00
10100000125514,ดำเนินการ,2008-01-17,,2026-07-23 05:40:46.621121+00
10100000125571,ดำเนินการ,2014-01-07,,2026-07-23 05:41:18.135551+00
10100000525614,ดำเนินการ,2018-09-17,,2026-08-05 05:22:22.787453+00
10100001025408,ดำเนินการ,1997-10-01,,2026-07-26 05:46:55.529241+00
10100001125588,ดำเนินการ,2015-03-09,,2026-07-26 05:46:49.15336+00
10100001225313,ดำเนินการ,1994-01-11,,2026-07-26 05:47:20.205583+00
10100001225354,ดำเนินการ,1995-01-01,,2026-07-23 05:41:07.681776+00
10100001325584,ดำเนินการ,2015-03-09,,2026-07-23 05:40:49.032225+00
10100001425269,ดำเนินการ,1993-09-02,,2026-07-23 05:40:51.950388+00
10100001425582,ดำเนินการ,2015-03-09,,2026-08-05 05:22:20.338761+00
10100001525472,ดำเนินการ,2004-12-27,,2026-07-23 05:40:19.138184+00
10100001825278,ดำเนินการ,1993-06-16,,2026-07-26 05:47:29.674868+00
10100001925276,ดำเนินการ,1993-02-10,,2026-08-07 03:27:53.382774+00
10100002125405,ดำเนินการ,1997-10-03,,2026-07-23 05:41:04.164181+00
10100002225593,ดำเนินการ,2016-07-22,,2026-07-23 05:40:19.138184+00
10100002325294,ดำเนินการ,1995-01-01,,2026-07-23 05:40:52.34303+00
10100002625529,ดำเนินการ,2009-11-25,,2026-07-23 05:41:04.164181+00
10100003225535,ดำเนินการ,2010-07-28,,2026-07-26 05:47:10.423795+00
10100004025504,ดำเนินการ,2007-11-13,,2026-07-23 05:40:55.049572+00
10100004125262,ดำเนินการ,1995-01-01,,2026-07-26 05:47:21.979287+00
10100004325474,ดำเนินการ,2004-07-07,,2026-07-26 05:47:11.768738+00
10100004525685,ได้รับใบอนุญาต,2025-01-06,,2026-07-23 05:41:42.639376+00
10100004625477,ดำเนินการ,2004-07-14,,2026-07-23 05:40:49.032225+00
10100004625485,หยุดดำเนินการ,2005-07-08,,2026-07-26 05:47:10.423795+00
10100004725236,ดำเนินการ,1995-01-01,,2026-07-23 05:41:08.099553+00
10100005325473,ดำเนินการ,2004-12-22,,2026-07-23 05:41:04.164181+00
10100005325549,ดำเนินการ,2011-09-19,,2026-08-08 05:31:12.001037+00
10100005425612,ได้รับใบอนุญาต,2018-05-01,,2026-07-26 05:47:48.059247+00
10100005725359,ดำเนินการ,1995-01-01,,2026-07-23 05:41:08.099553+00
10100006225276,ดำเนินการ,1993-05-26,,2026-07-23 05:41:20.151062+00
10100006225391,ดำเนินการ,1996-07-24,,2026-07-23 05:41:40.418942+00
10100006325381,ดำเนินการ,1995-09-19,,2026-07-26 05:47:45.842517+00
10100006525428,ดำเนินการ,1999-06-15,,2026-07-23 05:41:40.418942+00
10100008825594,ดำเนินการ,2016-11-18,,2026-07-26 05:47:48.519046+00
10100009125689,ดำเนินการ,2025-01-15,,2026-07-23 05:41:41.977254+00
10100018425401,ดำเนินการ,1997-11-18,,2026-07-26 05:47:46.72026+00
10100024525632,ดำเนินการ,2020-02-05,,2026-07-23 05:41:41.977254+00
10100059225660,ดำเนินการ,2023-04-11,,2026-07-23 05:41:42.215973+00
10100061725657,ดำเนินการ,2022-04-07,,2026-07-23 05:41:42.215973+00
10100091025656,ดำเนินการ,2022-05-27,,2026-07-26 05:47:48.059247+00
10100100125505,ได้รับใบอนุญาต,2007-04-10,,2026-07-26 05:46:51.826981+00
10100100625124,ดำเนินการ,1993-05-28,,2026-07-26 05:47:07.043508+00
10100100625397,ดำเนินการ,1996-09-17,,2026-07-23 05:41:06.432042+00
10100100725338,หยุดดำเนินการ,1996-01-01,,2026-07-26 05:47:11.316778+00
10100100725494,ดำเนินการ,2006-11-30,,2026-07-23 05:41:28.201672+00
10100100725577,ดำเนินการ,2014-07-02,,2026-07-26 05:47:23.338574+00
10100101025514,ดำเนินการ,2008-06-11,,2026-07-26 05:47:23.338574+00
10100101125561,ดำเนินการ,2013-10-31,,2026-07-26 05:47:17.945996+00
10100101225189,ดำเนินการ,1975-06-20,,2026-07-26 05:47:21.979287+00
10100102225592,ดำเนินการ,2016-05-16,,2026-07-26 05:47:47.620747+00
10100103025157,ดำเนินการ,1993-09-17,,2026-08-08 05:31:09.351832+00
10100103725475,ดำเนินการ,2004-05-31,,2026-07-26 05:47:10.423795+00
10100104725524,ดำเนินการ,2009-12-22,,2026-07-26 05:47:40.002653+00
10100119325666,ดำเนินการ,2023-07-26,,2026-07-26 05:47:48.059247+00
10100123325488,ดำเนินการ,2005-08-02,,2026-07-23 05:41:41.102926+00
10100160725673,ดำเนินการ,2024-09-12,,2026-07-26 05:47:48.059247+00
10100183325683,ดำเนินการ,2025-10-14,,2026-07-23 05:41:42.215973+00
10100199525672,ดำเนินการ,2024-10-29,,2026-07-23 05:41:09.853018+00
10100200225544,ดำเนินการ,2011-02-25,,2026-07-26 05:47:22.900455+00
10100200325336,ดำเนินการ,1993-08-26,,2026-07-26 05:46:55.084486+00
10100200425151,ดำเนินการ,1995-01-01,,2026-07-26 05:47:17.474216+00
10100200525414,ดำเนินการ,1998-07-06,,2026-07-26 05:47:12.205583+00
10100201025273,ดำเนินการ,1993-05-31,,2026-08-07 03:28:01.688571+00
10100201025356,ดำเนินการ,1993-05-28,,2026-07-23 05:41:07.681776+00
10100202425472,ดำเนินการ,2004-08-30,,2026-07-23 05:41:20.151062+00
10100208125530,ดำเนินการ,2010-05-31,,2026-07-23 05:41:40.855078+00
10100297525640,ดำเนินการ,2021-05-07,,2026-07-26 05:47:38.625025+00
10100300425432,ดำเนินการ,2000-06-06,,2026-07-26 05:47:09.98201+00
10100300625288,ดำเนินการ,1994-02-23,,2026-07-26 05:47:08.618182+00
10100301125320,ดำเนินการ,1989-09-04,,2026-07-23 05:41:09.853018+00
10100400425282,ดำเนินการ,1994-01-01,,2026-07-26 05:47:08.618182+00
10100500125451,หยุดดำเนินการ,2002-03-26,,2026-08-05 05:22:24.884316+00
10100600225334,ดำเนินการ,1990-10-17,,2026-08-07 03:28:02.410975+00
10100700225390,ดำเนินการ,1996-02-26,,2026-07-26 05:47:19.762328+00
10100900125382,ดำเนินการ,1995-06-05,,2026-07-23 05:41:09.853018+00
10101000325419,ดำเนินการ,1998-10-14,,2026-07-26 05:47:39.093037+00
10101100425416,ดำเนินการ,1998-11-09,,2026-07-26 05:47:47.171297+00
10101200125460,ดำเนินการ,2003-01-03,,2026-08-07 03:27:54.235402+00
10101300125337,ดำเนินการ,1993-08-17,,2026-07-26 05:47:20.652433+00
10101300225434,ดำเนินการ,2000-11-13,,2026-07-26 05:47:38.625025+00
10101400125427,ดำเนินการ,1999-11-12,,2026-07-23 05:41:06.432042+00
